"","PredSet","Outcome","AUC","CI_low","CI_high","SE"
"1","standLab","bloodUnit0to6","0.709966259642668","0.683417759843487","0.73651475944185","0.0135454018587039"
"2","teg_ck","bloodUnit0to6","0.594278989481887","0.560189727903442","0.628368251060332","0.0173927999939471"
"3","teg_crt","bloodUnit0to6","0.58801794163062","0.550842594172823","0.625193289088417","0.0189673625388177"
"4","teg_ff","bloodUnit0to6","0.561293119553918","0.518638445198873","0.603947793908963","0.021762988856683"
"5","rotem_ex","bloodUnit0to6","0.629138702728769","0.595358042376441","0.662919363081098","0.0172353474955591"
"6","rotem_intem","bloodUnit0to6","0.608175928897745","0.574665281615607","0.641686576179884","0.0170975831936027"
"7","rotem_aptem","bloodUnit0to6","0.587921335306977","0.553393039575434","0.622449631038519","0.017616801126907"
"8","rotem_fibtem","bloodUnit0to6","0.60555318697076","0.570759694926699","0.640346679014821","0.0177521078542809"
"9","rotem_all","bloodUnit0to6","0.652386495553714","0.618745966811616","0.686027024295813","0.0171638504622792"
"10","standLab","ffp0to6","0.761896006759717","0.73491746896113","0.788874544558304","0.0137648130329897"
"11","teg_ck","ffp0to6","0.587293453088814","0.552339472923242","0.622247433254386","0.0178339910535522"
"12","teg_crt","ffp0to6","0.584607952056081","0.545973241760003","0.623242662352159","0.0197119490974446"
"13","teg_ff","ffp0to6","0.565489649183201","0.519489278216337","0.611490020150065","0.0234700082908201"
"14","rotem_ex","ffp0to6","0.618566924328723","0.583309169325139","0.653824679332306","0.0179889810637809"
"15","rotem_intem","ffp0to6","0.61811021311886","0.583021570976097","0.653198855261622","0.0179026974064508"
"16","rotem_aptem","ffp0to6","0.593426292482944","0.557799090951515","0.629053494014372","0.0181774776539012"
"17","rotem_fibtem","ffp0to6","0.604455819302749","0.56783776739109","0.641073871214407","0.0186830228516939"
"18","rotem_all","ffp0to6","0.642653306315327","0.607483591992122","0.677823020638532","0.017944061523895"
"19","standLab","plt0to6","0.716141321953211","0.677278772631371","0.75500387127505","0.0198281956344005"
"20","teg_ck","plt0to6","0.57676300333798","0.53348244216396","0.620043564511999","0.0220823247342356"
"21","teg_crt","plt0to6","0.572632779820003","0.523835201002595","0.62143035863741","0.0248971813779826"
"22","teg_ff","plt0to6","0.543337417782848","0.485505498553663","0.601169337012032","0.0295066234305096"
"23","rotem_ex","plt0to6","0.631274559513244","0.586296603187985","0.676252515838504","0.0229483585821168"
"24","rotem_intem","plt0to6","0.616515964563878","0.571807237740932","0.661224691386824","0.0228109940670351"
"25","rotem_aptem","plt0to6","0.592097294404304","0.549633087951296","0.634561500857312","0.0216658095699515"
"26","rotem_fibtem","plt0to6","0.61011112519542","0.563184205162359","0.657038045228481","0.0239427460928947"
"27","rotem_all","plt0to6","0.651427444683875","0.606709931701751","0.696144957665999","0.0228154768836825"
"28","standLab","mortalityat24h","0.862708780442288","0.831333607200237","0.894083953684338","0.0160080356014365"
"29","teg_ck","mortalityat24h","0.653741718764578","0.601568425850131","0.705915011679024","0.0266195161370225"
"30","teg_crt","mortalityat24h","0.637405523933934","0.577808507698478","0.69700254016939","0.0304071996758867"
"31","teg_ff","mortalityat24h","0.592929457870673","0.519787137172424","0.666071778568921","0.0373181962909451"
"32","rotem_ex","mortalityat24h","0.688415601380984","0.635549428097736","0.741281774664231","0.0269730330252234"
"33","rotem_intem","mortalityat24h","0.693584958477184","0.640699416911243","0.746470500043124","0.026982914983691"
"34","rotem_aptem","mortalityat24h","0.661752356069795","0.607440095035424","0.716064617104167","0.0277108464557407"
"35","rotem_fibtem","mortalityat24h","0.690986283474851","0.634094221295334","0.747878345654369","0.0290270957161842"
"36","rotem_all","mortalityat24h","0.703233180927496","0.651407937915296","0.755058423939695","0.0264419363932144"
"37","standLab","mortalityatdisch","0.800053280671825","0.769519722275522","0.830586839068128","0.0155786323815884"
"38","teg_ck","mortalityatdisch","0.612256020960325","0.573594034055162","0.650918007865487","0.0197258659904587"
"39","teg_crt","mortalityatdisch","0.592024030071807","0.549046095159212","0.635001964984402","0.021927920743238"
"40","teg_ff","mortalityatdisch","0.550072833211944","0.50023578050672","0.599909885917169","0.0254275349436686"
"41","rotem_ex","mortalityatdisch","0.659145456234083","0.619555952275541","0.698734960192625","0.0201990976726199"
"42","rotem_intem","mortalityatdisch","0.661754498306258","0.622768164222898","0.700740832389617","0.0198913522854903"
"43","rotem_aptem","mortalityatdisch","0.632382916945695","0.591991231200841","0.672774602690548","0.020608381614896"
"44","rotem_fibtem","mortalityatdisch","0.653224702679188","0.611717142456536","0.69473226290184","0.0211777157897075"
"45","rotem_all","mortalityatdisch","0.677287769397339","0.638328181163536","0.716247357631142","0.0198777061931297"
